9999	LABEL:UYYbisXZ	Paragraph_ID	Book_Paragraph_ID	Paragraph_Reference	CollectedHitRankSummary	CollectedHits	TokensInParagraph	TotalUniquedScore	TotalUniquedScorePercentage	TotalHitCount	HitTypeTokenRatio	SummaryUnique_Hits_U	Unique_Hits_U	SummaryUnique_Hits_Y	Unique_Hits_Y	SummaryUnique_Hits_Ybis	Unique_Hits_Ybis	SummaryUnique_Hits_X	Unique_Hits_X	SummaryUnique_Hits_Z	Unique_Hits_Z	Paragraph_(lemmatized)	Paragraph_(tokenized)
7	NYNYN	P_000001	B_0000P_0001	I2010.07384v2.p.1	Y:1:1Y:3:1,X:3:1	-- interpretability[1] interpretable_model[1] -- explainability[6] --	252	2	0.79	8	25.00	n.a.	--	Y:1:1 Y:3:1	interpretability[1] interpretable_model[1]	n.a.	--	X:3:1	explainability[6]	n.a.	--	LEM:--- abstract : | the importance of explainability in machine learning continue to grow , as both neural-network architecture and the datum they model become increasingly complex . unique challenge arise when a model 's input feature become high dimensional : on one hand , principled model-agnostic approach to explainability become too computationally expensive ; on the other , more efficient explainability algorithm lack natural interpretation for general user . in this work , we introduce a framework for human-interpretable explainability on high-dimensional datum , consist of two module . first , we apply a semantically-meaningful latent representation , both to reduce the raw dimensionality of the datum , and to ensure its human interpretability . these latent feature can be learn , e.g. explicitly as disentangle representation or implicitly through image-to-image translation , or they can be base on any computable quantity the user choose . second , we adapt the shapley paradigm for model-agnostic explainability to operate on these latent feature . this lead to interpretable model explanation that be both theoretically-controlled and computationally-tractable . we benchmark our approach on synthetic datum and demonstrate its effectiveness on several image-classification task . author : - | * * damien de mijolla [ ^ 1 ] , christopher frye $ ^ * $ , markus kunesch , john mansir , & ilya feige * * \ faculty , 54 welbeck street , london , uk bibliography : - semantic_shapley . bib title : | human-interpretable model explainability \ on high-dimensional datum --- 	TOK:--- abstract : | The importance of explainability in machine learning continues to grow , as both neural-network architectures and the data they model become increasingly complex . Unique challenges arise when a model 's input features become high dimensional : on one hand , principled model-agnostic approaches to explainability become too computationally expensive ; on the other , more efficient explainability algorithms lack natural interpretations for general users . In this work , we introduce a framework for human-interpretable explainability on high-dimensional data , consisting of two modules . First , we apply a semantically-meaningful latent representation , both to reduce the raw dimensionality of the data , and to ensure its human interpretability . These latent features can be learnt , e.g. explicitly as disentangled representations or implicitly through image-to-image translation , or they can be based on any computable quantities the user chooses . Second , we adapt the Shapley paradigm for model-agnostic explainability to operate on these latent features . This leads to interpretable model explanations that are both theoretically-controlled and computationally-tractable . We benchmark our approach on synthetic data and demonstrate its effectiveness on several image-classification tasks . author : - | * * Damien de Mijolla [ ^ 1 ] , Christopher Frye $ ^ * $ , Markus Kunesch , John Mansir , & Ilya Feige * * \ Faculty , 54 Welbeck Street , London , UK bibliography : - semantic_shapley . bib title : | Human-interpretable model explainability \ on high-dimensional data --- 
3	NNNYN	P_000003	B_0000P_0003	I2010.07384v2.p.3	X:3:1	-- -- -- explainability[2] --	62	0	0.00	2	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[2]	n.a.	--	LEM:the explainability of ai system be important , both for model development and model assurance . this importance continue to rise as ai model -- and the datum on which they be train -- become ever more complex . moreover , method for ai explainability must be adapt to maintain the human-interpretability of explanation in the regime of highly complex datum . 	TOK:The explainability of AI systems is important , both for model development and model assurance . This importance continues to rise as AI models -- and the data on which they are trained -- become ever more complex . Moreover , methods for AI explainability must be adapted to maintain the human-interpretability of explanations in the regime of highly complex data . 
3	NNNYN	P_000004	B_0000P_0004	I2010.07384v2.p.4	X:3:1	-- -- -- explainability[1] --	79	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:many explainability method exist in the literature . model-specific technique refer to the internal structure of a model in formulate explanation [ @ chen 2016 xgboost ; @ shrikumar 2017 learning ] , while model-agnostic method be base solely on input-output relationship and treat the model as a black-box [ @ breiman 2001 random ; @ lime ] . model-agnostic method offer wide applicability and , importantly , fix a common language for explanation across different model type . 	TOK:Many explainability methods exist in the literature . Model-specific techniques refer to the internal structure of a model in formulating explanations [ @ chen 2016 xgboost ; @ shrikumar 2017 learning ] , while model-agnostic methods are based solely on input-output relationships and treat the model as a black-box [ @ breiman 2001 random ; @ LIME ] . Model-agnostic methods offer wide applicability and , importantly , fix a common language for explanations across different model types . 
3	NNNYN	P_000005	B_0000P_0005	I2010.07384v2.p.5	X:3:1	-- -- -- explainability[2] --	90	0	0.00	2	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[2]	n.a.	--	LEM:the shapley framework for model-agnostic explainability stand out , due to its theoretically principled foundation and incorporation of interaction effect between the datum 's feature [ @ shapley 52 ; @ shap ] . the shapley framework have be use for explainability in machine learn for year [ @ lipovetsky 2001 analysis ; @ kononenko 2010 efficient ; @ vstrumbelj 2014 explaining ; @ datta 2016 algorithmic ] . unfortunately , the combinatoric require to capture interaction effect make shapley value computationally intensive and thus ill-suite for high-dimensional datum . 	TOK:The Shapley framework for model-agnostic explainability stands out , due to its theoretically principled foundation and incorporation of interaction effects between the data 's features [ @ shapley 52 ; @ SHAP ] . The Shapley framework has been used for explainability in machine learning for years [ @ lipovetsky 2001 analysis ; @ kononenko 2010 efficient ; @ vstrumbelj 2014 explaining ; @ datta 2016 algorithmic ] . Unfortunately , the combinatorics required to capture interaction effects make Shapley values computationally intensive and thus ill-suited for high-dimensional data . 
3	NNNYN	P_000007	B_0000P_0007	I2010.07384v2.p.7	X:3:1	-- -- -- explainability[1] --	30	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:! [ our propose framework for semantic explainability . ] ( figure / pixel_baseline . pdf ) { # fig : framework width = " \ \ textwidth " } 	TOK:! [ Our proposed framework for semantic explainability . ] ( figures / pixel_baseline . pdf ) { # fig : framework width = " \ \ textwidth " } 
3	NNNYN	P_000008	B_0000P_0008	I2010.07384v2.p.8	X:3:1	-- -- -- explainability[1] --	30	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:! [ our propose framework for semantic explainability . ] ( figure / semantic-shapley . pdf ) { # fig : framework width = " \ \ textwidth " } 	TOK:! [ Our proposed framework for semantic explainability . ] ( figures / semantic-shapley . pdf ) { # fig : framework width = " \ \ textwidth " } 
3	NNNYN	P_000009	B_0000P_0009	I2010.07384v2.p.9	X:3:1	-- -- -- explainability[1] --	143	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:when intricately understand by the practitioner , these method for model explainability can be useful , e.g. for model development . however , many alternative method exist to achieve broadly the same goal ( i.e. to monitor how output change as input vary ) with alternative design choice that make their explanation uncomparable to a general user : e.g. the distinct explanation in fig . [ \ [ fig : pixel-baseline \ ] ] ( # fig : pixel-baseline ) { reference-type = " ref " reference = " fig : pixel-baseline " } describe the same model prediction . ideally , a set of axiom ( agree upon or debate ) would constrain the space of explanation , thus lead to a framework of curate method that the user can choose from base on which axiom be relevant to the application . 	TOK:When intricately understood by the practitioner , these methods for model explainability can be useful , e.g. for model development . However , many alternative methods exist to achieve broadly the same goal ( i.e. to monitor how outputs change as inputs vary ) with alternative design choices that make their explanations uncomparable to a general user : e.g. the distinct explanations in Fig . [ \ [ fig : pixel-baseline \ ] ] ( # fig : pixel-baseline ) { reference-type = " ref " reference = " fig : pixel-baseline " } describe the same model prediction . Ideally , a set of axioms ( agreed upon or debated ) would constrain the space of explanations , thus leading to a framework of curated methods that the user can choose from based on which axioms are relevant to the application . 
3	NNNYN	P_000012	B_0000P_0012	I2010.07384v2.p.12	X:3:1	-- -- -- explainability[3] --	88	0	0.00	3	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[3]	n.a.	--	LEM:once a set of semantic latent feature be select , one must choose an explainability algorithm to obtain quantitative information about why a certain model prediction be make . fortunately , since the set of latent feature be low-dimensional by construction , a shapley-based approach become once again viable . in this work , we develop a method to apply shapley explainability at the level of semantic latent feature , thus provide a theoretically-controlled , model-agnostic foundation for explainability on high-dimensional datum . our main contribution be : 	TOK:Once a set of semantic latent features is selected , one must choose an explainability algorithm to obtain quantitative information about why a certain model prediction was made . Fortunately , since the set of latent features is low-dimensional by construction , a Shapley-based approach becomes once again viable . In this work , we develop a method to apply Shapley explainability at the level of semantic latent features , thus providing a theoretically-controlled , model-agnostic foundation for explainability on high-dimensional data . Our main contributions are : 
3	NNNYN	P_000013	B_0000P_0013	I2010.07384v2.p.13	X:3:1	-- -- -- explainability[2] --	56	0	0.00	2	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[2]	n.a.	--	LEM:- we introduce an approach to model explainability on high-dimensional datum that involve encode the raw input feature into a digestible number of semantically meaningful latent feature . we develop a procedure to apply shapley explainability in this context , obtain shapley value that describe the high-dimensional model 's dependence on each semantic latent feature . 	TOK:- We introduce an approach to model explainability on high-dimensional data that involves encoding the raw input features into a digestible number of semantically meaningful latent features . We develop a procedure to apply Shapley explainability in this context , obtaining Shapley values that describe the high-dimensional model 's dependence on each semantic latent feature . 
3	NNNYN	P_000015	B_0000P_0015	I2010.07384v2.p.15	X:3:1	-- -- -- explainability[1] --	40	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:semantic shapley explainability { # sec : semantic-shapley } = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = 	TOK:Semantic Shapley explainability { # sec : semantic-shapley } = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = 
3	NNNYN	P_000017	B_0000P_0017	I2010.07384v2.p.17	X:3:1	-- -- -- explainability[1] --	87	0	0.00	1	0.00	n.a.	--	n.a.	--	n.a.	--	X:3:1	explainability[1]	n.a.	--	LEM:we will begin by describe module ( ii ) in sec . [ 2.1 ] ( # sec : shapley ) { reference-type = " ref " reference = " sec : shapley " } , where we will show how to adapt shapley explainability to latent feature . then we will describe several option for module ( i ) in sec . [ 2.2 ] ( # sec : semantic-rep ) { reference-type = " ref " reference = " sec : semantic-rep " } . 	TOK:We will begin by describing module ( ii ) in Sec . [ 2.1 ] ( # sec : shapley ) { reference-type = " ref " reference = " sec : shapley " } , where we will show how to adapt Shapley explainability to latent features . Then we will describe several options for module ( i ) in Sec . [ 2.2 ] ( # sec : semantic-reps ) { reference-type = " ref " reference = " sec : semantic-reps " } . 
