Paragraph_Reference	LABEL:UYYbisXZ	Paragraph_ID	Book_Paragraph_ID	CollectedHitRankSummary	TotalUniquedScore	TotalUniquedScorePercentage	TotalHitCount	HitTypeTokenRatio	SummaryUnique_Hits_U	SummaryUnique_Hits_Y	SummaryUnique_Hits_Ybis	SummaryUnique_Hits_X	SummaryUnique_Hits_Z
I2010.07384v2.p.1	NYNYN	P_000001	B_0000P_0001	Y:1:1Y:3:1,X:3:1	2	8	25.00	0.79	n.a.	Y:1:1 Y:3:1	n.a.	X:3:1	n.a.
I2010.07384v2.p.3	NNNYN	P_000003	B_0000P_0003	X:3:1	0	2	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.4	NNNYN	P_000004	B_0000P_0004	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.5	NNNYN	P_000005	B_0000P_0005	X:3:1	0	2	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.7	NNNYN	P_000007	B_0000P_0007	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.8	NNNYN	P_000008	B_0000P_0008	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.9	NNNYN	P_000009	B_0000P_0009	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.12	NNNYN	P_000012	B_0000P_0012	X:3:1	0	3	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.13	NNNYN	P_000013	B_0000P_0013	X:3:1	0	2	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.15	NNNYN	P_000015	B_0000P_0015	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.17	NNNYN	P_000017	B_0000P_0017	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.20	NNNYN	P_000020	B_0000P_0020	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.22	NNNYN	P_000022	B_0000P_0022	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.24	NNNYN	P_000024	B_0000P_0024	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.32	NNNYN	P_000032	B_0000P_0032	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.35	NNNYN	P_000035	B_0000P_0035	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.40	NNNYN	P_000040	B_0000P_0040	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.43	NNNYN	P_000043	B_0000P_0043	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.49	NNNYN	P_000049	B_0000P_0049	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.52	NNNYN	P_000052	B_0000P_0052	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
I2010.07384v2.p.60	NNNYN	P_000060	B_0000P_0060	X:3:1	0	1	0.00	0.00	n.a.	n.a.	n.a.	X:3:1	n.a.
